FIPS,Total,Male,Female,Eighteen_Years_Plus,SixFive_Years_Plus,One_Race,Two_Plus_Races
1,4903185,2369611,2533574,3817588,854312,4811663,91522
2,731545,380433,351112,551796,90588,674069,57476
4,7278717,3620935,3657782,5639069,1307241,6998143,280574
5,3017804,1474705,1543099,2318792,524237,2934201,83603
6,39512223,19640794,19871429,30621159,5834998,37534078,1978145
8,5758736,2904955,2853781,4502416,845378,5525793,232943
9,3565287,1743777,1821510,2837855,629032,3434219,131068
10,973764,470288,503476,769818,189638,943597,30167
11,705749,334355,371394,577848,87537,682428,23321
12,21477737,10498005,10979732,17245782,4498198,20846185,631552
13,10617423,5170126,5447297,8114394,1523192,10333002,284421
15,1415872,707855,708017,1115685,269470,1099404,316468
16,1787065,898044,889021,1337710,288617,1728365,58700
17,12671821,6217305,6454516,9857142,2045361,12319888,351933
18,6732219,3319907,3412312,5164798,1084472,6557936,174283
19,3155070,1570384,1584686,2433240,553575,3086822,68248
20,2913314,1446287,1467027,2213013,477996,2804543,108771
21,4467673,2198205,2269468,3465848,754559,4363515,104158
22,4648794,2268202,2380592,3563908,742194,4555727,93067
23,1344212,656330,687882,1097859,285978,1315676,28536
24,6045680,2928013,3117667,4713393,959887,5840122,205558
25,6892503,3345556,3546947,5540726,1172293,6642044,250459
26,9986857,4915905,5070952,7844035,1766409,9684517,302340
27,5639632,2804216,2835416,4336963,921491,5453049,186583
28,2976149,1434957,1541192,2277729,486804,2932485,43664
29,6137428,3008169,3129259,4764733,1057943,5965175,172253
30,1068778,537170,531608,842254,207909,1032261,36517
31,1934408,966650,967758,1459312,312295,1881025,53383
32,3080156,1544779,1535377,2389419,498219,2935948,144208
33,1359711,672960,686751,1103691,253147,1329506,30205
34,8882190,4342591,4539599,6944166,1475075,8617761,264429
35,2096829,1036708,1060121,1622979,377730,2024385,72444
36,19453561,9450810,10002751,15431465,3295968,18804263,649298
37,10488084,5094327,5393757,8194112,1750935,10192947,295137
38,762062,388339,373723,585356,120177,736917,25145
39,11689100,5732207,5956893,9114253,2043548,11345759,343341
40,3956971,1962477,1994494,3004742,635222,3656806,300165
41,4217737,2089676,2128061,3354921,767496,4010412,207325
42,12801989,6272527,6529462,10169664,2388218,12469281,332708
44,1059361,517221,542140,855786,187155,1014761,44600
45,5148714,2485001,2663713,4036414,935538,5023183,125531
46,884659,449458,435201,669390,153799,859961,24698
47,6829174,3329115,3500059,5318422,1138965,6672928,156246
48,28995881,14385762,14610119,21599250,3738727,28159954,835927
49,3205958,1610671,1595287,2275650,365198,3102384,103574
50,623989,309164,314825,510430,125201,608622,15367
51,8535519,4201799,4333720,6677914,1358336,8215287,320232
53,7614893,3807572,3807321,5951928,1207685,7161398,453495
54,1792147,885861,906286,1433329,367400,1759897,32250
55,5822434,2892804,2929630,4559022,1019896,5685400,137034
56,578759,296005,282754,444570,98789,562936,15823
1001,55380,26934,28446,42175,8283,54182,1198
1003,212830,103496,109334,166595,42531,209241,3589
1005,25361,13421,11940,20054,4710,25057,304
1007,22493,12150,10343,17862,3584,22352,141
1009,57681,28495,29186,44292,10326,56765,916
1011,10248,5571,4677,8120,1640,10170,78
1013,19828,9081,10747,15373,3900,19403,425
1015,114618,55141,59477,89666,19738,111878,2740
1017,33660,16089,17571,26595,6470,33318,342
1019,25903,12777,13126,20658,5811,25678,225
1021,44055,21459,22596,33420,7052,42962,1093
1023,12925,6145,6780,10322,2922,12874,51
1025,24128,11403,12725,18841,4679,23955,173
1027,13337,6438,6899,10559,2698,13243,94
1029,14916,7309,7607,11533,2899,14625,291
1031,51662,25479,26183,39403,8550,49932,1730
1033,54771,26284,28487,43218,10644,53656,1115
1035,12394,6078,6316,9790,2746,12289,105
1037,10757,5462,5295,8956,2430,10757,0
1039,37200,17986,19214,29037,7726,36784,416
1041,13844,6748,7096,10738,2609,13410,434
1043,82853,40759,42094,64148,15116,81172,1681
1045,49277,24301,24976,37892,8081,47657,1620
1047,39149,18039,21110,29720,6809,38906,243
1049,71310,35318,35992,53800,11883,69587,1723
1051,81144,39226,41918,62915,12053,79795,1349
1053,37057,18856,18201,28769,6566,36675,382
1055,102748,49564,53184,80579,19257,100907,1841
1057,16494,8138,8356,13014,3438,16101,393
1059,31466,15676,15790,23582,5304,31058,408
1061,26417,12835,13582,20599,5275,25995,422
1063,8324,3846,4478,6440,1773,8102,222
1065,14809,7035,7774,11355,2777,14745,64
1067,17133,8319,8814,13537,3785,16932,201
1069,104702,50190,54512,80349,18052,102399,2303
1071,51852,25381,26471,40870,10113,50443,1409
1073,659680,312033,347647,508503,101785,648766,10914
1075,13885,6783,7102,10835,2983,13774,111
1077,92556,44568,47988,74247,18228,91275,1281
1079,33058,15955,17103,25875,5998,31343,1715
1081,161152,79453,81699,126764,18696,158140,3012
1083,94727,47291,47436,73144,14328,93000,1727
1085,10079,4821,5258,7808,1856,10032,47
1087,18708,8593,10115,15460,3614,18619,89
1089,362276,176935,185341,282589,53151,351077,11199
1091,19321,9299,10022,14918,3729,19237,84
1093,29866,14781,15085,23592,6288,29359,507
1095,95643,47230,48413,71756,16093,93921,1722
1097,414114,197367,216747,316303,65339,406474,7640
1099,21270,10160,11110,16522,4100,21071,199
1101,226941,107049,119892,173501,33107,222681,4260
1103,119213,58712,60501,91846,20412,116532,2681
1105,9293,4263,5030,7286,1772,9293,0
1107,20243,9637,10606,16212,3739,19941,302
1109,33333,15980,17353,26863,4946,32526,807
1111,22647,11057,11590,17751,4622,22242,405
1113,57952,27861,30091,43783,8029,55864,2088
1115,87989,44013,43976,67948,14317,86947,1042
1117,213432,103346,110086,162807,31716,209158,4274
1119,12797,5927,6870,10327,2234,12766,31
1121,80387,38826,41561,63130,14052,79049,1338
1123,40541,19573,20968,32072,8505,40024,517
1125,207305,100006,107299,163687,26673,205105,2200
1127,64110,31453,32657,49854,12191,62979,1131
1129,16541,8159,8382,12753,3047,16144,397
1131,10681,5014,5667,8104,2026,10347,334
1133,23784,11781,12003,18858,5075,23339,445
2013,3385,2033,1352,2901,318,3074,311
2016,5698,3380,2318,4716,347,5203,495
2020,293531,149670,143861,221655,30873,265696,27835
2050,18134,9477,8657,11740,1301,17511,623
2060,875,524,351,695,87,783,92
2068,2246,1201,1045,1985,209,2030,216
2070,4961,2542,2419,3417,499,4615,346
2090,99072,53417,45655,75129,9699,91833,7239
2100,2518,1297,1221,1876,633,2321,197
2105,2139,1142,997,1817,439,1916,223
2110,32227,16504,15723,25283,4039,28679,3548
2122,58464,30480,27984,45217,9631,55128,3336
2130,13800,7083,6717,10767,2050,12563,1237
